coingecko_id,name,VL,MC,address
uniswap,Uniswap,TRUE,TRUE,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984
aave,Aave,TRUE,TRUE,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9
lido-dao,Lido,TRUE,TRUE,0x5a98fcbea516cf06857215779fd812ca3bef1b32
maker,Maker,TRUE,TRUE,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2
curve-dao-token,Curve,TRUE,TRUE,0xd533a949740bb3306d119cc777fa900ba034cd52
1inch,1Inch,TRUE,TRUE,0x111111111117dc0aa78b770fa6a738034120c302
bitdao,Bitdao,TRUE,FALSE,0x1a4b46696b2bb4794eb3d4c26f1c55f9170fa4c5
convex-finance,Convex,TRUE,TRUE,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b
compound-governance-token,Compound,TRUE,TRUE,0xc00e94cb662c3520282e6f5717214004a7f26888
dydx,Dydx,TRUE,TRUE,0x92d6c1e31e14520e676a687f0a93788b716beff5
balancer,Balancer,TRUE,TRUE,0xba100000625a3754423978a60c9317c58a424e3d
sushi,Sushi,TRUE,TRUE,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2
yearn-finance,Yearn Finance,TRUE,TRUE,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e
instadapp,Instadapp,FALSE,TRUE,0x6f40d4a6237c257fff2db00fa0510deeecd303eb
aura-finance,Aura Finance,FALSE,TRUE,0xc0c293ce456ff0ed870add98a0828dd4d2903dbf
