,id,symbol,name,links.homepage,platforms.ethereum,genesis_date,market_cap,circulating_supply,total_supply,max_supply,last_updated,last_updated
0,uniswap,uni,Uniswap,"['https://uniswap.org/', '', '']",0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,,4905957845.0,753766667.0,1000000000.0,1000000000.0,2022-10-09T04:49:11.741Z,2022-10-09T04:49:11.741Z
1,aave,aave,Aave,"['https://app.aave.com/?referral=93', '', '']",0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,,1052731037.0,14118329.899315655,16000000.0,16000000.0,2022-10-09T04:48:27.841Z,2022-10-09T04:48:27.841Z
2,maker,mkr,Maker,"['https://makerdao.com/', 'https://blog.makerdao.com/', '']",0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,2017-11-25,781390950.0,901310.9472893132,977631.036950888,1005577.0,2022-10-09T04:48:12.158Z,2022-10-09T04:48:12.158Z
5,havven,snx,Synthetix Network,"['https://www.synthetix.io/', '', '']",0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,2018-03-11,530525220.0,239553448.45561495,301353714.088774,301353714.088774,2022-10-09T04:48:47.227Z,2022-10-09T04:48:47.227Z
6,ethereum-name-service,ens,Ethereum Name Service,"['https://ens.domains/', 'https://app.ens.domains/', '']",0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,,442812698.0,25783233.34309683,100000000.0,100000000.0,2022-10-09T04:49:13.837Z,2022-10-09T04:49:13.837Z
7,compound-governance-token,comp,Compound,"['https://compound.finance/governance/comp', '', '']",0xc00e94cb662c3520282e6f5717214004a7f26888,,406923746.0,6856085.76329154,10000000.0,10000000.0,2022-10-09T04:48:05.223Z,2022-10-09T04:48:05.223Z
8,amp-token,amp,Amp,"['https://amptoken.org', '', '']",0xff20817765cb7f73d4bde2e66e067e58d11095c2,,381566657.0,77058950758.33023,99444923968.0213,99444923968.0213,2022-10-09T04:49:19.290Z,2022-10-09T04:49:19.290Z
10,curve-dao-token,crv,Curve DAO,"['https://www.curve.fi/', 'https://curve.eth.link/', '']",0xd533a949740bb3306d119cc777fa900ba034cd52,,344367092.0,391958099.3931446,1833259177.23537,3303030299.0,2022-10-09T04:48:07.191Z,2022-10-09T04:48:07.191Z
11,sushi,sushi,Sushi,"['https://sushi.com/', '', 'https://forum.sushi.com/']",0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,,257442972.0,192789255.8554817,245005666.853723,250000000.0,2022-10-09T04:48:14.327Z,2022-10-09T04:48:14.327Z
12,yearn-finance,yfi,yearn.finance,"['https://yearn.finance', '', '']",0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,,252111781.0,31398.00512834703,36666.0,36666.0,2022-10-09T04:48:44.780Z,2022-10-09T04:48:44.780Z
13,0x,zrx,0x,"['https://0x.org/', '', '']",0xe41d2489571d322189246dafa5ebde1f4699f498,2017-08-11,229213984.0,847496054.8122635,1000000000.0,1000000000.0,2022-10-09T04:48:41.909Z,2022-10-09T04:48:41.909Z
14,balancer,bal,Balancer,"['https://balancer.finance/', 'http://balancer.exchange/', '']",0xba100000625a3754423978a60c9317c58a424e3d,,190275888.0,36709032.1400129,52679751.6236749,96150704.0,2022-10-09T04:48:51.277Z,2022-10-09T04:48:51.277Z
15,merit-circle,mc,Merit Circle,"['https://www.meritcircle.io/', '', '']",0x949d48eca67b17269629c7194f4b727d4ef9e5d6,,187462374.0,291848172.3126545,876981177.014776,876981177.014776,2022-10-09T04:48:54.842Z,2022-10-09T04:48:54.842Z
16,uma,uma,UMA,"['https://umaproject.org', '', '']",0x04fa0d235c4abf4bcf4787af4cf447de572ef828,,155584864.0,69089575.28094159,109000727.166908,109000727.166908,2022-10-09T04:49:09.090Z,2022-10-09T04:49:09.090Z
