hex(pair_address),protocol_name,chain_name,hex(token0_address),token0_name,hex(token1_address),token1_name
59F7A66A2FBCAF203CEE71359B51142238F85B78,crodefiswap,eth_mainnet,C00E94CB662C3520282E6F5717214004A7F26888,Compound,C02AAA39B223FE8D0A0E5C4F27EAD9083C756CC2,Wrapped Ether
4811C9384BC8447945806A2319159054B228FDA7,crodefiswap,eth_mainnet,C02AAA39B223FE8D0A0E5C4F27EAD9083C756CC2,Wrapped Ether,D533A949740BB3306D119CC777FA900BA034CD52,Curve DAO Token
D360131B77EAD72F1F23FB185B4896FE01DC8CB5,crodefiswap,eth_mainnet,1F9840A85D5AF5BF1D1762F925BDADDC4201F984,Uniswap,C02AAA39B223FE8D0A0E5C4F27EAD9083C756CC2,Wrapped Ether
D3BF46376BC1F497020E2ED58E1E62F940A09FAD,crodefiswap,eth_mainnet,A0B73E1FF0B80914AB6FE0444E65848C4C34450B,CRO,D533A949740BB3306D119CC777FA900BA034CD52,Curve DAO Token
9909D09656FCE21D1904F662B99382B887A9C5DA,crodefiswap,eth_mainnet,7FC66500C84A76AD7E9C93437BFC5AC33E2DDAE9,Aave Token,C02AAA39B223FE8D0A0E5C4F27EAD9083C756CC2,Wrapped Ether
2E5B1804C83EE608CBEF8A59B09AD35714353A64,crodefiswap,eth_mainnet,A0B73E1FF0B80914AB6FE0444E65848C4C34450B,CRO,C00E94CB662C3520282E6F5717214004A7F26888,Compound
50CF1B844068F7DFE89F078FE6D82A7A4A73B180,crodefiswap,eth_mainnet,0BC529C00C6401AEF6D220BE8C6EA1667F6AD93E,yearn.finance,C02AAA39B223FE8D0A0E5C4F27EAD9083C756CC2,Wrapped Ether
901943C5A43338E2FF0C8075D84B3D318C71CB86,crodefiswap,eth_mainnet,1F9840A85D5AF5BF1D1762F925BDADDC4201F984,Uniswap,A0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,USD Coin
91F40C26A1995B568E8A3651367AFB7222B83C6A,crodefiswap,eth_mainnet,7FC66500C84A76AD7E9C93437BFC5AC33E2DDAE9,Aave Token,A0B73E1FF0B80914AB6FE0444E65848C4C34450B,CRO
43BA224FB92E51D91B16EF3DB69A0F8B2DACA6B1,crodefiswap,eth_mainnet,0BC529C00C6401AEF6D220BE8C6EA1667F6AD93E,yearn.finance,A0B73E1FF0B80914AB6FE0444E65848C4C34450B,CRO
21518D7F6FA3F8A9933688343185433AB84BD58F,crodefiswap,eth_mainnet,6B175474E89094C44DA98B954EEDEAC495271D0F,Dai Stablecoin,C00E94CB662C3520282E6F5717214004A7F26888,Compound
C34FECF98A7C48EE48288FC163CA5804D3235BE5,crodefiswap,eth_mainnet,1F9840A85D5AF5BF1D1762F925BDADDC4201F984,Uniswap,6B175474E89094C44DA98B954EEDEAC495271D0F,Dai Stablecoin
46D9E57E738613DAEE573515A0A35C105C84DB47,crodefiswap,eth_mainnet,9F8F72AA9304C8B593D555F12EF6589CC3A579A2,,C02AAA39B223FE8D0A0E5C4F27EAD9083C756CC2,Wrapped Ether
016FD003EEF102D19EE92A00E93667CD9849B290,crodefiswap,eth_mainnet,1F9840A85D5AF5BF1D1762F925BDADDC4201F984,Uniswap,A0B73E1FF0B80914AB6FE0444E65848C4C34450B,CRO
4468DCF19731757325AEE8C24CAA2E9BD167D563,crodefiswap,eth_mainnet,BA100000625A3754423978A60C9317C58A424E3D,Balancer,C02AAA39B223FE8D0A0E5C4F27EAD9083C756CC2,Wrapped Ether
