,combination,p_value,m_test_result,m_test_value
0,"('0x1f9840a85d5af5bf1d1762f925bdaddc4201f984', '0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9')",1.0,False,1.0
1,"('0x1f9840a85d5af5bf1d1762f925bdaddc4201f984', '0x5a98fcbea516cf06857215779fd812ca3bef1b32')",1.0,False,1.0
2,"('0x1f9840a85d5af5bf1d1762f925bdaddc4201f984', '0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2')",1.0,False,1.0
3,"('0x1f9840a85d5af5bf1d1762f925bdaddc4201f984', '0xd533a949740bb3306d119cc777fa900ba034cd52')",1.0,False,1.0
4,"('0x1f9840a85d5af5bf1d1762f925bdaddc4201f984', '0x111111111117dc0aa78b770fa6a738034120c302')",1.0,False,1.0
5,"('0x1f9840a85d5af5bf1d1762f925bdaddc4201f984', '0x1a4b46696b2bb4794eb3d4c26f1c55f9170fa4c5')",1.0,False,1.0
6,"('0x1f9840a85d5af5bf1d1762f925bdaddc4201f984', '0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b')",1.0,False,1.0
7,"('0x1f9840a85d5af5bf1d1762f925bdaddc4201f984', '0xc00e94cb662c3520282e6f5717214004a7f26888')",1.0,False,1.0
8,"('0x1f9840a85d5af5bf1d1762f925bdaddc4201f984', '0x92d6c1e31e14520e676a687f0a93788b716beff5')",1.0,False,1.0
9,"('0x1f9840a85d5af5bf1d1762f925bdaddc4201f984', '0xba100000625a3754423978a60c9317c58a424e3d')",1.0,False,1.0
10,"('0x1f9840a85d5af5bf1d1762f925bdaddc4201f984', '0x6b3595068778dd592e39a122f4f5a5cf09c90fe2')",1.0,False,1.0
11,"('0x1f9840a85d5af5bf1d1762f925bdaddc4201f984', '0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e')",1.0,False,1.0
12,"('0x1f9840a85d5af5bf1d1762f925bdaddc4201f984', '0x6f40d4a6237c257fff2db00fa0510deeecd303eb')",1.0,False,1.0
13,"('0x1f9840a85d5af5bf1d1762f925bdaddc4201f984', '0xc0c293ce456ff0ed870add98a0828dd4d2903dbf')",1.0,False,1.0
14,"('0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9', '0x5a98fcbea516cf06857215779fd812ca3bef1b32')",0.9999999999999993,False,1.0
15,"('0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9', '0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2')",1.0,False,1.0
16,"('0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9', '0xd533a949740bb3306d119cc777fa900ba034cd52')",1.0,False,1.0
17,"('0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9', '0x111111111117dc0aa78b770fa6a738034120c302')",1.0,False,1.0
18,"('0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9', '0x1a4b46696b2bb4794eb3d4c26f1c55f9170fa4c5')",1.0,False,1.0
