index,block_height,date,nodes,edges,avg_degree_path,min_degree_path,max_degree_path,diameter,avg_shortest_path,density,degree_centrality_avg,degree_centrality_min,degree_centrality_max,betweeness_centrality_avg,betweeness_centrality_min,betweeness_centrality_max,triangles_avg,triangles_min,triangles_max,fully_connected
0,10664157,2020-08-15,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,True
1,10866666,2020-09-15,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,True
2,11060222,2020-10-15,5.0,7.0,2.8,1.0,4.0,2.0,1.3,0.7,0.7,0.25,1.0,0.1,0.0,0.5,2.4,0.0,3.0,True
3,11262275,2020-11-15,5.0,7.0,2.8,2.0,4.0,2.0,1.3,0.7,0.7,0.5,1.0,0.1,0.0,0.333,1.8,1.0,3.0,True
4,11457486,2020-12-15,5.0,7.0,2.8,1.0,4.0,2.0,1.3,0.7,0.7,0.25,1.0,0.1,0.0,0.5,2.4,0.0,3.0,True
5,11659570,2021-01-15,7.0,17.0,4.857,3.0,6.0,2.0,1.19,0.81,0.81,0.5,1.0,0.038,0.0,0.083,8.143,3.0,11.0,True
6,11861210,2021-02-15,7.0,15.0,4.286,1.0,5.0,3.0,1.333,0.714,0.714,0.167,0.833,0.067,0.0,0.333,6.857,0.0,9.0,True
7,12043054,2021-03-15,7.0,15.0,4.286,1.0,5.0,3.0,1.333,0.714,0.714,0.167,0.833,0.067,0.0,0.333,6.857,0.0,9.0,True
8,12244515,2021-04-15,11.0,22.0,4.0,1.0,7.0,3.0,1.782,0.4,0.4,0.1,0.7,0.087,0.0,0.559,4.636,0.0,10.0,True
9,12438842,2021-05-15,11.0,23.0,4.182,1.0,7.0,3.0,1.745,0.418,0.418,0.1,0.7,0.083,0.0,0.549,5.455,0.0,11.0,True
10,12638919,2021-06-15,12.0,21.0,3.5,1.0,6.0,,,0.3181818181818182,0.3181818181818182,0.09090909090909091,0.5454545454545454,0.015151515151515152,0.0,0.10909090909090909,5.75,0.0,12.0,False
11,12831436,2021-07-15,10.0,18.0,3.6,1.0,6.0,,,0.4,0.4,0.1111111111111111,0.6666666666666666,0.03611111111111111,0.0,0.16666666666666666,5.1,0.0,10.0,False
12,13029639,2021-08-15,10.0,18.0,3.6,1.0,6.0,,,0.4,0.39999999999999997,0.1111111111111111,0.6666666666666666,0.03611111111111111,0.0,0.16666666666666666,5.1,0.0,10.0,False
13,13230157,2021-09-15,12.0,22.0,3.667,1.0,6.0,5.0,2.182,0.333,0.333,0.091,0.545,0.118,0.0,0.473,4.25,0.0,9.0,True
14,13422506,2021-10-15,12.0,23.0,3.833,1.0,7.0,5.0,2.03,0.348,0.348,0.091,0.636,0.103,0.0,0.473,5.0,0.0,12.0,True
15,13620205,2021-11-15,11.0,22.0,4.0,1.0,7.0,4.0,1.909,0.4,0.4,0.1,0.7,0.101,0.0,0.511,5.455,0.0,12.0,True
16,13809597,2021-12-15,12.0,22.0,3.667,1.0,7.0,5.0,2.061,0.333,0.333,0.091,0.636,0.106,0.0,0.6,4.5,0.0,10.0,True
17,14009885,2022-01-15,12.0,20.0,3.3333333333333335,1.0,6.0,,,0.30303030303030304,0.303030303030303,0.09090909090909091,0.5454545454545454,0.048484848484848485,0.0,0.28484848484848485,3.25,0.0,8.0,False
18,14210564,2022-02-15,12.0,20.0,3.3333333333333335,1.0,6.0,,,0.30303030303030304,0.303030303030303,0.09090909090909091,0.5454545454545454,0.048484848484848485,0.0,0.28484848484848485,3.25,0.0,8.0,False
19,14391029,2022-03-15,12.0,21.0,3.5,1.0,7.0,4.0,2.0,0.318,0.318,0.091,0.636,0.1,0.0,0.612,3.25,0.0,8.0,True
20,14589816,2022-04-15,12.0,21.0,3.5,1.0,7.0,4.0,2.0,0.318,0.318,0.091,0.636,0.1,0.0,0.612,3.25,0.0,8.0,True
21,14779829,2022-05-15,12.0,20.0,3.333,1.0,7.0,4.0,2.015,0.303,0.303,0.091,0.636,0.102,0.0,0.612,2.75,0.0,7.0,True
22,14967365,2022-06-15,13.0,24.0,3.692,1.0,7.0,4.0,2.026,0.308,0.308,0.083,0.583,0.093,0.0,0.571,3.692,0.0,10.0,True
