Clique Name,2021-01-15,2021-02-15,2021-03-15,2021-04-15,2021-05-15,2021-06-15,2021-07-15,2021-08-15,2021-09-15,2021-10-15,2021-11-15,2021-12-15,2022-01-15,2022-02-15,2022-03-15,2022-04-15,2022-05-15,2022-06-15
"['1INCH', 'LDO', 'SUSHI', 'BAL', 'CRV']",,{'IEMOA': 1.5131431510564906e-05},{'IEMOA': 3.64205898128268e-05},"{'IEMOA': 5.537184532612041e-06, 'other_contracts': 1.19971148803759e-05}",{'other_contracts': 3.1167294829221856e-05},,,,,,,,,,,,,
"['1INCH', 'LDO', 'SUSHI', 'CRV']",,,,,,{'other_contracts': 6.130604077681362e-05},,,,,,,,,,,,
"['BIT', 'CVX']",,,,,,,,,,"{'IEMOA': 0.00025604553870213243, 'other_contracts': 1.675476968658e-06}",,,,,,,,
"['BIT', 'SUSHI']",,,,,,,,,"{'IEMOA': 0.0007506025805799951, 'PCV': 0.00011104135298802143, 'other_contracts': 0.00011167988769071901}",,,,,,,,,
"['CVX', 'INST', 'DYDX']",,,,,,,,,,,,"{'IEMOA': 8.158950632668989e-05, 'bridge_contract': 0.0035414553773881795}",,,,,,
"['CVX', 'LDO', 'BAL', 'CRV']",,,,,,,,,,,,,"{'IEMOA': 0.0008236344664511533, 'other_contracts': 0.00028319078897870827}","{'IEMOA': 0.0005431716594297378, 'other_contracts': 8.0018445330923e-05}","{'IEMOA': 0.0008205380483367277, 'bridge_contract': 0.004071704420006696, 'other_contracts': 0.0003139990404614057}","{'IEMOA': 0.000796905817297563, 'bridge_contract': 0.0038675094393153696, 'other_contracts': 0.00031570322693461733}","{'IEMOA': 0.007759643093499426, 'bridge_contract': 0.0037275824790852534, 'other_contracts': 0.0005659506604662592}","{'IEMOA': 0.008103183766836108, 'bridge_contract': 0.0030714685567894704, 'other_contracts': 0.0003075260363070316}"
"['CVX', 'LDO', 'DYDX']",,,,,,,,,,,,,,,,,"{'IEMOA': 0.00760977313390937, 'bridge_contract': 0.0037275824790852534, 'other_contracts': 0.0005591995570004088}","{'IEMOA': 0.008103183766836108, 'bridge_contract': 0.0030714685567894704, 'other_contracts': 0.0002961664875868723}"
"['CVX', 'LDO', 'INST', 'DYDX']",,,,,,,,,{'IEMOA': 5.988037120536402e-05},{'IEMOA': 5.742854057229133e-05},"{'IEMOA': 6.385232056979561e-05, 'other_contracts': 0.00017165543209369106}",,"{'IEMOA': 0.00021916174616500345, 'other_contracts': 0.0002645292150806456}","{'IEMOA': 0.0001554525746947812, 'other_contracts': 8.0018445330923e-05}","{'IEMOA': 0.00015381171417527318, 'bridge_contract': 0.004071704420006696, 'other_contracts': 7.346215408931284e-05}","{'IEMOA': 0.00013967132953685802, 'bridge_contract': 0.0038675094393153696, 'other_contracts': 7.184160386596524e-05}",,
"['CVX', 'LDO', 'INST']",,,,,,,,,,,,{'IEMOA': 8.158950632668989e-05},,,,,"{'IEMOA': 0.0001498699595900561, 'bridge_contract': 0.0037275824790852534, 'other_contracts': 9.727627520171037e-05}",
"['CVX', 'LDO', 'SUSHI', 'BAL', 'CRV']",,,,,,,,,{'IEMOA': 0.00039987710955790033},{'IEMOA': 0.00025018168097497263},"{'IEMOA': 0.00026416651285559944, 'other_contracts': 0.00017165543209369106}",{'IEMOA': 0.0004674583050251224},,,,,,
"['CVX', 'SUSHI', 'BAL']",,,,,,,,,,,,,"{'IEMOA': 0.014209620847193538, 'bridge_contract': 0.004435743335115584, 'other_contracts': 0.0007369904704081178}","{'IEMOA': 0.014216347953065474, 'bridge_contract': 0.004122586867444303, 'other_contracts': 0.0013388418267600258}","{'IEMOA': 0.01400634667011852, 'bridge_contract': 0.004071704420006696, 'other_contracts': 0.0014240557185893406}","{'IEMOA': 0.018180228426063382, 'bridge_contract': 0.0038675094393153696, 'other_contracts': 0.002391447002761354, 'vesting_contract': 0.0003723880479017672}","{'IEMOA': 0.02028551152657041, 'bridge_contract': 0.0037275824790852534, 'other_contracts': 0.0029161004770005008}","{'IEMOA': 0.022282084937951245, 'bridge_contract': 0.0030714685567894704, 'other_contracts': 0.00243467511224667}"
"['MKR', 'COMP']",,,,,,"{'EMOA': 3.9531150650376923e-05, 'IEMOA': 0.035679033841022355, 'bridge_contract': 0.0007673523216530846, 'lp_amm': 0.003184741635071672, 'other_contracts': 0.01518079665018719}","{'EMOA': 0.0014527644161332813, 'IEMOA': 0.038862954733679345, 'bridge_contract': 0.0007137865441158214, 'lp_amm': 0.007325207740265329, 'other_contracts': 0.017065055608649606}","{'EMOA': 0.0019114338588566758, 'IEMOA': 0.03869322891174732, 'bridge_contract': 0.0006596505639596786, 'lp_amm': 0.010268253051691061, 'other_contracts': 0.018760343920452168}","{'EMOA': 0.0018531130430100985, 'IEMOA': 0.030217581121262767, 'bridge_contract': 0.006732904441956894, 'lp_amm': 0.010034739327449372, 'other_contracts': 0.023044745324735345}","{'EMOA': 0.0003108723794201631, 'IEMOA': 0.04591349779378804, 'bridge_contract': 0.006884480122322027, 'lp_amm': 0.010289421537119097, 'other_contracts': 0.024903708536928543}","{'EMOA': 0.00036809758190452235, 'IEMOA': 0.04836145452977115, 'bridge_contract': 0.006580262894743354, 'lp_amm': 0.009935961981315035, 'other_contracts': 0.02148533020684312}","{'EMOA': 0.00012812434777920544, 'IEMOA': 0.053036452915066805, 'bridge_contract': 0.005398889521231035, 'lp_amm': 0.010243581192299794, 'other_contracts': 0.02231917447920443}","{'EMOA': 3.4621090125293384e-05, 'IEMOA': 0.05289837853426021, 'PCV': 1.1822612764601761e-05, 'bridge_contract': 0.005976390646524061, 'lp_amm': 0.009748458535665446, 'other_contracts': 0.02783537988420044}","{'EMOA': 0.00020832644648411544, 'IEMOA': 0.05292055218252178, 'PCV': 1.3575152341676196e-05, 'bridge_contract': 0.005984367412153878, 'lp_amm': 0.00968228650306911, 'other_contracts': 0.029232071602932116}","{'EMOA': 0.00022953236587187813, 'IEMOA': 0.050000336925461804, 'PCV': 1.2634885595636046e-05, 'bridge_contract': 0.006100882039100112, 'lp_amm': 0.010158101894263097, 'other_contracts': 0.028362809501537474}","{'EMOA': 0.00022578348080041951, 'IEMOA': 0.0518649457635711, 'PCV': 8.333494855338795e-05, 'bridge_contract': 0.005697884580934852, 'lp_amm': 0.012941115059460438, 'other_contracts': 0.028097778661764918}","{'EMOA': 0.0002562920835873342, 'IEMOA': 0.054428949879856435, 'PCV': 4.9900517154966454e-05, 'bridge_contract': 0.005198316051616559, 'lp_amm': 0.014058982989483593, 'other_contracts': 0.029033710770988926}","{'EMOA': 0.00028830974662802817, 'IEMOA': 0.055452153897843894, 'PCV': 4.247184776636224e-05, 'bridge_contract': 0.004351248009079895, 'lp_amm': 0.015895768781454662, 'other_contracts': 0.02882271111364675}"
"['YFI', '1INCH', 'SUSHI', 'BAL', 'CRV']","{'IEMOA': 0.0365597709102362, 'other_contracts': 0.0010706118528000161}",,,,,,,,,,,,,,,,,
"['YFI', '1INCH']",,,,,,,,,,,,"{'EMOA': 4.159004851964944e-05, 'IEMOA': 0.05231253730510715, 'bridge_contract': 0.005445285692597139, 'other_contracts': 0.009902196983727895}","{'EMOA': 3.4621090125293384e-05, 'IEMOA': 0.051565470643006144, 'bridge_contract': 0.006124565238192762, 'other_contracts': 0.012336908939210734}","{'EMOA': 3.055404952082134e-05, 'IEMOA': 0.05175878381132258, 'bridge_contract': 0.005647492694524738, 'other_contracts': 0.013751380460810675}","{'EMOA': 6.805270799734119e-05, 'IEMOA': 0.04854145272095798, 'PCV': 1.2634885595636046e-05, 'bridge_contract': 0.005817426997215015, 'other_contracts': 0.012434084577433165}","{'EMOA': 7.575062304837278e-05, 'IEMOA': 0.051345666775742045, 'PCV': 8.333494855338795e-05, 'bridge_contract': 0.005248906195252511, 'lending_borrowing_contract': 0.0001313689980267043, 'other_contracts': 0.013370677000262352}","{'EMOA': 9.994973410186278e-05, 'IEMOA': 0.053206351640762546, 'PCV': 4.9900517154966454e-05, 'bridge_contract': 0.005380867795049006, 'lending_borrowing_contract': 0.00012630288407019212, 'other_contracts': 0.013043499094177282}","{'EMOA': 0.00016306638610234152, 'IEMOA': 0.05497165174138114, 'PCV': 4.247184776636224e-05, 'bridge_contract': 0.0047943716806819565, 'other_contracts': 0.015399644699895514}"
"['YFI', 'AAVE', 'BAL', 'CRV']","{'IEMOA': 0.03551903384250217, 'other_contracts': 0.001430471535215594}",,,,,,,,,,,,,,,,,
